,nombre,seguidores,foto,popularidad,generos
262,BB Brunes,187713,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,49,french indie pop
262,BB Brunes,187713,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,49,french pop
262,BB Brunes,187713,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,49,french rock
263,Maroon 5,39461918,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b,87,pop
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,alternative dance
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,alternative rock
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,dance-punk
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,garage rock
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,garage rock revival
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,indie rock
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,modern blues rock
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,modern rock
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,new rave
264,The Kills,656544,https://i.scdn.co/image/ab6761610000e5eb312731b2e76f6b83976914c7,52,rock
265,Fatboy Slim,1089630,https://i.scdn.co/image/ab6761610000e5ebbbb4a8ed961af5b1989e2b6a,64,big beat
266,Muse,7322847,https://i.scdn.co/image/ab6761610000e5eb0accbbe13e1aa147dd27671c,78,modern rock
266,Muse,7322847,https://i.scdn.co/image/ab6761610000e5eb0accbbe13e1aa147dd27671c,78,permanent wave
266,Muse,7322847,https://i.scdn.co/image/ab6761610000e5eb0accbbe13e1aa147dd27671c,78,rock
267,Bonnie Tyler,1647739,https://i.scdn.co/image/ab6761610000e5ebfdd9bd42889cb7bdeb631931,68,europop
267,Bonnie Tyler,1647739,https://i.scdn.co/image/ab6761610000e5ebfdd9bd42889cb7bdeb631931,68,new wave pop
267,Bonnie Tyler,1647739,https://i.scdn.co/image/ab6761610000e5ebfdd9bd42889cb7bdeb631931,68,soft rock
268,MEDUZA,593006,https://i.scdn.co/image/ab6761610000e5ebb070a2d8660aefc5a517d382,78,edm
268,MEDUZA,593006,https://i.scdn.co/image/ab6761610000e5ebb070a2d8660aefc5a517d382,78,electro house
268,MEDUZA,593006,https://i.scdn.co/image/ab6761610000e5ebb070a2d8660aefc5a517d382,78,pop dance
268,MEDUZA,593006,https://i.scdn.co/image/ab6761610000e5ebb070a2d8660aefc5a517d382,78,pop house
268,MEDUZA,593006,https://i.scdn.co/image/ab6761610000e5ebb070a2d8660aefc5a517d382,78,tropical house
269,SHELLS,9560,https://i.scdn.co/image/ab6761610000e5ebf62285f31e3122631913c0c9,57,uk pop
270,Kendrick Lamar,22750569,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,90,conscious hip hop
270,Kendrick Lamar,22750569,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,90,hip hop
270,Kendrick Lamar,22750569,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,90,rap
270,Kendrick Lamar,22750569,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,90,west coast rap
271,Charlie Puth,19229572,https://i.scdn.co/image/ab6761610000e5eb4e2e2c78de847c4d9b12d32f,84,dance pop
271,Charlie Puth,19229572,https://i.scdn.co/image/ab6761610000e5eb4e2e2c78de847c4d9b12d32f,84,pop
271,Charlie Puth,19229572,https://i.scdn.co/image/ab6761610000e5eb4e2e2c78de847c4d9b12d32f,84,viral pop
272,Selena Gomez,39801292,https://i.scdn.co/image/ab6761610000e5eba5205abffd84341e5bace828,86,dance pop
272,Selena Gomez,39801292,https://i.scdn.co/image/ab6761610000e5eba5205abffd84341e5bace828,86,pop
272,Selena Gomez,39801292,https://i.scdn.co/image/ab6761610000e5eba5205abffd84341e5bace828,86,post-teen pop
273,Heiakim,157452,https://i.scdn.co/image/ab6761610000e5eb45140310e325e19e4ea5b601,52,kawaii future bass
274,El Koala,6206,https://i.scdn.co/image/ab6761610000e5eb4985b95c1fdf565c8613f3c6,31,
275,TEN,502000,https://i.scdn.co/image/ab6761610000e5ebf1d6a7c024d667150db85c85,54,k-pop
